City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Arraial Do Cabo,BR,2021-01-30 22:57:10,-22.9661,-42.0278,77.88,78,47,27.98
210,Hambantota,LK,2021-01-30 23:08:46,6.1241,81.1185,77.36,80,100,13.4
211,Saskylakh,RU,2021-01-30 23:01:42,71.9167,114.0833,-34.65,82,100,10.27
212,Kaspiyskiy,RU,2021-01-30 23:11:36,45.3929,47.3707,33.33,92,98,12.68
213,Nelson Bay,AU,2021-01-30 23:11:36,-32.7167,152.15,75.2,88,90,6.91
214,Gallup,US,2021-01-30 23:11:36,35.5281,-108.7426,39.2,52,1,9.22
215,Hithadhoo,MV,2021-01-30 23:02:15,-0.6,73.0833,81.81,78,75,15.23
216,Belaya Gora,RU,2021-01-30 23:11:36,68.5333,146.4167,-26.81,86,100,2.26
217,Waipawa,NZ,2021-01-30 23:01:44,-41.4122,175.5153,66.99,59,31,4.61
218,Kinkala,CG,2021-01-30 23:11:37,-4.3614,14.7644,71.6,94,94,1.83
219,Cap Malheureux,MU,2021-01-30 23:11:37,-19.9842,57.6142,75.99,87,0,1.99
220,La Ronge,CA,2021-01-30 23:02:02,55.1001,-105.2842,12.2,73,77,3.44
221,Mahajanga,MG,2021-01-30 23:07:26,-15.7167,46.3167,75.2,88,20,6.91
222,San Blas,MX,2021-01-30 23:11:37,21.5167,-105.2667,84.2,28,1,9.22
223,Kalachinsk,RU,2021-01-30 23:11:37,55.0529,74.5751,6.96,95,100,11.72
224,Katsuura,JP,2021-01-30 23:02:05,35.1333,140.3,35.6,60,20,3.44
225,Komsomolskiy,UZ,2021-01-30 23:06:41,40.4272,71.7189,37.4,44,100,6.91
226,Guerrero Negro,MX,2021-01-30 22:59:24,27.9769,-114.0611,63.61,53,61,16.31
227,Kavaratti,IN,2021-01-30 22:59:51,10.5669,72.642,80.64,70,29,7.16
228,Comodoro Rivadavia,AR,2021-01-30 23:02:09,-45.8667,-67.5,62.6,45,20,13.8
229,Deputatskiy,RU,2021-01-30 23:06:48,69.3,139.9,-27.06,88,92,1.07
230,Dicabisagan,PH,2021-01-30 23:01:46,17.0818,122.4157,70.38,81,100,11.48
231,Keffi,NG,2021-01-30 23:11:38,8.8486,7.8736,78.8,38,0,5.75
232,Waingapu,ID,2021-01-30 23:10:58,-9.6567,120.2641,78.35,82,100,14.54
233,Madingou,CG,2021-01-30 23:11:39,-4.1536,13.55,71.6,94,99,0.87
234,Mpongwe,ZM,2021-01-30 23:11:39,-13.5091,28.155,64.71,95,100,1.95
235,Nishihara,JP,2021-01-30 23:08:39,26.1842,127.7558,59.0,58,40,8.05
236,Srivardhan,IN,2021-01-30 23:11:39,18.0333,73.0167,73.22,49,47,5.59
237,Vestmannaeyjar,IS,2021-01-30 23:01:53,63.4427,-20.2734,32.76,91,61,9.98
